Author,Title,Year,Source title,Abstract,Author keywords,Correspondence address,Country,Publisher,Document type,Source,AI technologies,Key technology clusters,AI capabilities,MBSE phases,MBSE activities,MBSE tasks,Application area
Wang H.; Li H.; Wen X.; Luo G.,Unified modeling for digital twin of a knowledge-based system design,2021,Robotics and Computer-Integrated Manufacturing,"While Model-Based Systems Engineering (MBSE) improves the ambiguity problem of the conventional document-based way, it brings management complexity. Faced with the complexity, one of the core issues that companies care about is how to effectively evaluate, predict, and manage it in the early system design stage. The inaccuracy of contemporary complexity measurement approaches still exits due to the inconsistency between the actual design process in physical space and the theoretical simulation in virtual space. Digital Twin (DT) provides a promising way to alleviate the problem by bridging the physical space and virtual space. Aiming to integrate DT with MBSE for the system design complexity analysis and prediction, based on previous work, an integration framework named System Design Digital Twin in 5 Dimensions was introduced from a knowledge perspective. The framework provides services for design complexity measurement, effort estimation, and change propagation prediction. Then, to represent the system design digital twin in a unified way, a modeling profile is constructed through SysML stereotypes. The modeling profile includes System design digital model in virtual space profile, system services profile, relationships profile and digital twin data profile. Finally, the system design of a cube-satellite space mission demonstrates the proposed unfiled modeling approach. ? 2020 Elsevier Ltd",Digital twin; MBSE; System design; SysML; Unified modeling,"H. Li; Henan Key Laboratory of Intelligent Manufacturing of Mechanical Equipment, Zhengzhou University of Light Industry, 450002, China; email: lihao@zzuli.edu.cn",China,Elsevier,Article,Scopus,DT,Simulation-related,Integrative analysis and evaluation,Knowledge management and reuse,Knowledge Creation,Knowledge Integration,Aerospace£¨Spacecraft£©
Yang P.; Lu J.; Feng L.; Wu S.; Wang G.; Kiritsis D.,A Knowledge Management Approach Supporting Model-Based Systems Engineering,2021,Advances in Intelligent Systems and Computing,"Model-based Systems Engineering (MBSE) is a noval approach to support complex system development by formalizing system artifacts and development using models. Though MBSE models provide a completely structural formalisms about system development for system developers, such large of domain specific knowledge represented by models cannot be captured as what the developers expect. This leads to a big challenge when MBSE can be widely used for complex system development. In this paper, a knowledge management approach is proposed to support an intelligent question answering scenario when implementing MBSE in system lifecycle. We make use of the GOPPRR approach to support MBSE formalisms which are transformed to knowledge graph models. Then such models provide cues for intelligent question answers through reasoning. In the case study, we make use of an auto-braking system scenario to develop MBSE models and to implement the intelligent question answering. Finally, we find the availability of our approach is evaluated which the domain engineers enable to capture their domain knowledge more efficiently. ? 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Knowledge graph modeling; Knowledge management; Knowledge reasoning; MBSE,"J. Lu; Swiss Federal Institute of Technology Lausanne, Lausanne, Switzerland; email: jinzhi.Lu@epfl.ch",Switzerland,Springer,Conference paper,Scopus,KG+Ontology,Knowledge-driven,Logical reasoning and inference,Knowledge management and reuse,Knowledge Utilization,Knowledge Access,Vehicle
Fu C.; Liu J.; Wang S.,Building SysML Model Graph to Support the System Model Reuse,2021,IEEE Access,"With the implementation and application of MBSE (Model Based System Engineering) in enterprises, a vast number of system model files is constantly and increasingly generated. The problem of how to acquire the knowledge carried by the system model and reuse the system model is urgently required to be solved. Therefore, a cross-products system model graph construction method supporting system model reuse is proposed. System model graph is constructed by defining the SysML metamodel ontology and the construction strategy is given. The entity alignment based on the relationship set and the rule-based reasoning is applied to achieve the fusion of multiple subgraphs, and the semantic extended retrieval of design requirements is realized based on this graph. Finally, the case studies of the Automatic Climate Control Integrated System of car and satellite design verify the effectiveness and practicability of the method, supporting system model reuse. In conclusion, the paper indicates that it is feasible to express the system model with knowledge graph and the constructed system model knowledge graph can well support the retrieval and reuse of cross- products system models.  ? 2013 IEEE.",knowledge graph; MBSE; SysML; system model reuse,"J. Liu; School of Mechanical Engineering and Automation, Beihang University, Beijing, 100191, China; email: ryukeiko@buaa.edu.cn",China,IEEE,Article,Scopus,KG+Ontology,Knowledge-driven,Knowledge reuse and evolution,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨Spacecraft£©
Wu S.; Lu J.; Hu Z.; Yang P.; Wang G.; Kiritsis D.,Cognitive Thread Supports System of Systems for Complex System Development,2021,Annual System of Systems Engineering Conference,"Model-based Systems Engineering (MBSE) has been widely used in the development of complex systems. The system architectures, organizations, research and development processes using MBSE to design complex systems can be seen as a System of Systems (SoS), which has high complexity and hard to manage. The concept of digital thread is proposed to integrate all the models and data in the SoS. However, lack of cognition ability makes it hard to connect the models and data with human, processes and things in the SoS, which reduces the efficiency of complex system development. In this paper, a new concept named Cognitive Thread is first proposed as digital thread with augmented semantic capabilities for identifying the information of the SoS. Then a cognitive thread construction approach based on Open Services for Lifecycle Collaboration (OSLC) specification and knowledge graphs is proposed to support decision-making and management in the SoS. Finally, the feasibility of the proposed approach is verified through a case study of the advanced driver-assistance system development. ? 2021 IEEE.",Cognitive Thread; Digital Thread; MBSE; OSLC specification; System of Systems,"EPFL SCI-STI-DK, Station 9, CH-1015 Lausanne,  Switzerland",Switzerland,IEEE,Conference paper,Scopus,KG+Ontology,Knowledge-driven,Semantic integration and interoperability,Knowledge management and reuse,Knowledge Creation,Knowledge Integration,Vehicle
Fu C.; Liu J.; Zhang L.; Mao Y.; Jin J.,Knowledge graph based System model configuration design,2021,Journal of Physics: Conference Series,"When solving the complexity problem between different fields, traditional document-based system engineering (TSE) is difficult to meet current research and development needs, and model-based system engineering (MBSE) is the best choice. With the implementation and application of MBSE in enterprises, the system model files are gradually accumulated. Therefore, this paper studies the reusability of the system model and builds the system model knowledge graph to achieve efficient reuse of the existing system model. A product configuration method based on subgraph matching is proposed and by configuring the product, the designer can obtain more feasible solutions, and then get the best design solution. Finally, an example of remote sensing satellite design is given to verify the effectiveness of the method. ? 2021 Institute of Physics Publishing. All rights reserved.",\,"J. Liu; School of Mechanical Engineering and Automation, Beihang University, Beijing, 100191, China; email: ryukeiko@buaa.edu.cn",China,IOP Publishing Ltd,Conference paper,Scopus,KG+Ontology,Knowledge-driven,Knowledge reuse and evolution,Knowledge management and reuse,Knowledge Utilization,Knowledge Reuse,Aerospace£¨Spacecraft£©
Yang L.; Cormican K.; Yu M.,Ontology Learning for Systems Engineering Body of Knowledge,2021,IEEE Transactions on Industrial Informatics,"Extant systems engineering standards are so fragmented that the conceptualization of a cohesive body of knowledge is not easy. The discrepancies between different standards lead to misunderstanding and misinterpretation, making communication between stakeholders increasingly difficult. Moreover, these standards remain document centric, whereas systems engineering is transforming from paper-based to a model-based discipline. This requires the use of advanced information exchange schema and digital artifacts to enhance interoperability. Ontologies have been advocated as a mechanism to address these problems, as they can support the model-based transition and formalize the domain knowledge. However, manually creating ontologies is a time-consuming, error-prone, and tedious process. Little has been known about how to automate the development and little work has been conducted for building systems engineering ontologies. Therefore, in this article, we propose an ontology learning methodology to extract a systems engineering ontology from the extant standards. This methodology employs natural language processing techniques to carry out the lexical and morphological analyses on the standard documents. From the learning process, important terminologies, synonyms, concepts, and relations constructing the systems engineering body of knowledge are automatically recognized and classified. A formal and sophisticated system engineering ontology is achieved, which can be used to harmonize the extant standards, unify the languages, and improve the interoperability of the model-based systems engineering approach.  ? 2005-2012 IEEE.",Knowledge acquisition; NLP; ontology; ontology engineering; ontology learning; systems engineering,"L. Yang; National University of Ireland Galway, Galway, Ireland; email: l.yang2@nuigalway.ie",Ireland,IEEE,Article,Scopus,NLP+Ontology,Knowledge-driven,Knowledge formalization,Knowledge management and reuse,Knowledge Creation,Knowledge Extraction,Other
Giantamidis G.; Papanikolaou G.; Miranda M.; Salinas-Hernando G.; Valverde-Alcal¨¢ J.; Veluru S.; Basagiannis S.,ReForm: A Tool for Rapid Requirements Formalization,2020,Electronic Communications of the EASST,"Formal methods practices can sometimes be challenging to adopt in industrial environments. On the other hand, the need for formalization and verification in the design of complex systems is now more evident than ever. To the end of easing integration of formal methods in industrial model based system engineering workflows, UTRC Ireland has developed a tool aiming to render requirements formalization as effortless as possible to the industrial engineer. The developed approach is an end-to-end solution, starting with natural language requirements as input and going all the way down to auto-generated monitors in MATLAB / Simulink. We employ natural language processing and machine learning techniques for (semi-)automatic pattern extraction from requirements, which drastically reduces the required formalization workload for both legacy and new requirements. For monitor generation, we provide our own approach which outperforms existing state-of-the-art tools by orders of magnitude in some cases ? 2020, Electronic Communications of the EASST. All rights reserved.",Clustering; Formal Verification; MATLAB; Monitor Generation; NLP; Requirements Formalization; Simulink,"United Technologies Research Centre Ireland, Ireland",Ireland,Universitatsbibliothek TU Berlin,Article,Scopus,ML+NLP,Data-driven,Text-to-model transformation,Requirement analysis and management,Requirements Creation,Requirements extraction,Industry
Eren K.K.; Ozbey C.; Eken B.; Tosun A.,Customer requests matter: Early stage software effort estimation using k-grams,2020,ACM Symposium on Applied Computing,"Estimating the software development effort associated with a customer request, immediately after the request has been made, is quite challenging for project managers. Studies on software effort estimation often utilize expert knowledge to build statistical or machine learning models, although it is subjective and human-dependent. Rich text, natural language based descriptions provided by the customers are mostly not incorporated into the models during estimation. The aim of this study is to propose an early stage software effort estimation model that can predict the effort of the related problem immediately after a customer request or bug fix problem is appeared. Our model utilizes the textual descriptions of customer requests collected in the requirement management tool, and other features stored with the customer requests. Our results show that the use of textual data helps to make better predictions for an effort estimation system. Besides the effect of textual data, we asked whether there is a significant difference between the performance of an effort estimation system that can be used for all customers (Unified Model) and Customer Specific Models which is trained using only the related customer's requests. The Pred(25), Standard Accuracy (SA) and Gibbs' A were used during the evaluation. The Unified Model for early stage effort estimation achieves 43% pred(25) and 51% SA values. Customer Specific Models, on the other hand, depending on the customer, obtain 39%-58% Pred(25), and 35%-58% SA values. The results show that there is no significant advantage between the Unified Model and Customer Specific Models, and which model to use should be determined according to the customer. ? 2020 ACM.",Feature extraction; K-grams; Project management; Software effort estimation; Text mining,"Istanbul Technical University Istanbul, Turkey£¬tosunay@itu.edu.tr",Turkey,Association for Computing Machinery,Conference paper,Scopus,NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Analysis,Requirements effort estimation,Software
Lebeaupin B.; Rauzy A.,Toward a better integration of requirements and model-based specifications,2020,Systems Engineering,"As of today, most specifications of technical systems still rely on requirements written in natural language. However, this approach is known to be problem-prone, due to the inherent ambiguity of natural languages. On the other hand, fully formal or model-based approaches seem to be out of reach in many practical cases, especially in early design phases of systems. In this article, we study how to combine in a pragmatic way natural language requirements with models. We propose to keep both formats and to link pieces of text in requirements with elements of models. In other words, corpuses of requirements are managed as hypertexts with links to models. For this approach to be fully efficient, the text of requirements is not free, but relies on controlled natural language techniques leading to a partial structuring of the text. We show that this makes it possible to design (semi)automatic verifications on requirements and models, which would be impossible with unconstrained natural language. We illustrate here our approach on a small illustrative example and we report results obtained on a full size industrial?application. ? 2020 Wiley Periodicals LLC",controlled natural languages; MBSE; requirements engineering,"B. Lebeaupin; LGI, CentraleSupelec, Gif-sur-Yvette, France; email: benoit.lebeaupin@gmail.com",France,John Wiley and Sons Inc,Article,Scopus,NLP,Data-driven,Representation and embedding,Requirement analysis and management,Requirements Organization,Requirements traceability analysis,Industry
Fu C.; Liu J.; Xu W.; Yu H.; Zheng Y.,A SysML-based product configuration method,2020,"IEEE International Conference on Information Technology, Big Data and Artificial Intelligence","With the increasing demand for product features and performance, the difficulty of the development for multi-disciplinary product systems is increasing as well. Document-based system engineering is difficult to meet the current requirements for development, and model-based system engineering is becoming the best choice. Although the models have become an important artifact of the current complex product development, and do help to improve the efficiency, and the information transmission efficiency is not high due to the complex process. Thus, a system model configuration method based on RFBS is proposed in this paper. Firstly, the system model graph is constructed based on SysML meta-model ontology. Then, a Requirement-Function-Behavior-Structure (RFBS) based system model configuration method is proposed. Finally, a case of The Automatic Climate Control Integrated System is given to show the effectiveness of the method. ? 2020 IEEE.",Knowledge graph; Ontologe; Requirement-Function-Behavior-Structure; SysML,"J. Liu; School of Mechanical Engineering and Automation, Beihang University, Beijing, 100191, China; email: ryukeiko@buaa.edu.cn",China,IEEE,Conference paper,Scopus,KG+Ontology,Knowledge-driven,Knowledge reuse and evolution,System modeling,Model Construction,Model Generation,Product
Saini R.,Artificial intelligence empowered domain modelling bot,2020,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,"With the increasing adoption of Model-Based Software Engineering (MBSE) to handle the complexity of modern software systems in industry and inclusion of modelling topics in academic curricula, it is no longer a question of whether to use MBSE but how to use it. Acquiring modelling skills to properly build and use models with the help of modelling formalisms are non-trivial learning objectives, which novice modellers struggle to achieve for several reasons. For example, it is difficult for novice modellers to learn to use their abstraction abilities. Also, due to high student-teacher ratios in a typical classroom setting, novice modellers may not receive personalized and timely feedback on their modelling decisions. These issues hinder the novice modellers in improving their modelling skills. Furthermore, a lack of modelling skills among modellers inhibits the adoption and practice of modelling in industry. Therefore, an automated and intelligent solution is required to help modellers and other practitioners in improving their modelling skills. This doctoral research builds an automated and intelligent solution for one modelling formalism - domain models, in an avatar of a domain modelling bot. The bot automatically extracts domain models from problem descriptions written in natural language and generates intelligent recommendations, particularly for teaching modelling literacy to novice modellers. For this domain modelling bot, we leverage the capabilities of various Artificial Intelligence techniques such as Natural Language Processing and Machine Learning.  ? 2020 ACM.",Artificial intelligence; Bot; Domain model; Machine learning; Natural language; NLP,"R. Saini; McGill University, Montre¨¢l, Canada; email: rijul.saini@mail.mcgill.ca",Canada,Association for Computing Machinery,Conference paper,Scopus,ML+NLP,Data-driven,Text-to-model transformation,System modeling,Model Construction,Model Generation,Software
Ballard M.; Peak R.; Cimtalay S.; Mavris D.,Bidirectional Text-to-Model Element Requirement Transformation,2020,IEEE Aerospace Conference Proceedings,"Elicitation, representation, and analysis of requirements are important tasks performed early in the systems engineering process. This remains true with the adoption of Model-Based Systems Engineering (MBSE) methodologies. Existing SysML-based methodologies often choose between (i) using external requirements documents and/or databases as the authoritative source for requirements truth versus (ii) generating requirements directly, as elements in the system model. In either case, there is often need for the systems engineer to manually develop a model-based requirements representation, as this faculty is not automatic in the commonly-used SysML feature set. Additionally, once the system model has been completed, systems engineers typically must prepare traditional 'shall-statement' requirements for external review purposes, as not all stakeholders can be expected to be trained in system model interpretation. This paper details a novel effort to address both problems, by automatically transforming text-based requirements (TBR) into SysML model-based requirement (MBR) representations, and vice versa. The text-to-model based transformation direction uses requirement templates and natural language processing techniques, expanding on work from the field of requirements engineering. This paper also presents an aerospace-domain case study application of the developed tool. In the case study, a selected set of requirements were analyzed, and a system model was constructed. Then, the intermediate output system model was updated with additional elements, to represent the progression of the project's systems engineering process. The modified system model was then analyzed, constructing text-based requirements from the structure. The resulting text-based requirements were compared to the initial set of input requirements to assess consistency in both directions of analysis. The methodology developed in this paper improves the systems engineering process by saving the systems engineer time constructing potentially repetitive model elements, and by enabling model-based requirement analyses to methodologies previously only capable of processing text-based requirements. Further, the methodology eases the responsibility of the systems engineer to maintain a copy of the model-based requirements in text-based format. ? 2020 IEEE.",\,"Georgia Institute of Technology 270 Ferst Drive NW Atlanta, GA 30332-0150",United States,IEEE,Conference paper,Scopus,NLP,Data-driven,Text-to-model transformation,System modeling,Model Construction,Model Generation,Aerospace£¨UAV£©
Gr?Bler I.; Pottebaum J.,IMMERSIVE ABSTRACTION: A NEW MORPHOLOGY of INTUITIVE INTERACTION with SYSTEM MODELS,2020,Proceedings of the Design Society,"The value of models is well recognised in product and systems engineering. Modelling languages and diagrams are used to capture mental models and to handle model complexity. Literature research indicates that there are only very few approaches to utilise the potential of virtual and augmented reality for supporting tasks in model based (systems) engineering. The paper at hand contributes a new morphology of intuitive interaction for Immersive Abstraction as a holistic approach to extend that coverage. It presents a holistic framework to categorise solutions and future research directions. ? The Author(s), 2020. Published by Cambridge University Press.",3D modeling; model-based engineering; systems engineering; virtual engineering; visualisation,"Paderborn University, Germany",Germany,Cambridge University Press,Conference paper,Scopus,AR+VR,Simulation-related,Immersive interaction and exploration,Simulation and visualization,Visualization,Structural Model Visualization,Other
Bachelor G.; Brusa E.; Ferretto D.; Mitschke A.,Model-Based Design of Complex Aeronautical Systems through Digital Twin and Thread Concepts,2020,IEEE Systems Journal,"Managing the lifecycle of the elements of a complex and safety-critical system, from conceptual design to support in operation, is still a relevant challenge in the industrial domain. Starting from research and engineering activities, up to production and delivery, the need of maintaining the trace of dependence, changes, and possible updates regarding the final product is a crucial aspect for success. Particularly, conceptual and preliminary design activities are affected by a high level of uncertainty and a certain degree of project instability, usually caused by the need to explore alternative solutions and variants. Different tasks are performed concerning the identification of system requirements, functional and physical behavior using model-based design (MBD), and model-based systems engineering, which, generally, are subjected to extensive trade studies aimed at identifying the best solution. In this context, this paper presents how model-based digital twin and threads concepts will likely change the way in which the MBD process is managed, overcoming the issues associated with federated IT infrastructures and with tools integration. Notably, lifecycle and nonlifecycle related interoperability aspects are described, with particular focus on the exploitation of standards for lifecycle collaboration and heterogeneous simulation. The design of an ice protection system for a regional aircraft is selected as case study, starting from the work performed by the authors within the EC-funded research project CRYSTAL. ? 2007-2012 IEEE.",Aircraft on-board system; digital thread; digital twin; ice protection system; model-based design,"D. Ferretto; Department of Mechanical and Aerospace Engineering, Politecnico di Torino, Turin, 10129, Italy; email: davide.ferretto@polito.it",Italy,IEEE,Article,Scopus,DT,\,\,Verification and validation,\,\,Aerospace£¨Aircraft£©
Guariniello C.; Marsh T.B.; Porter R.; Crumbly C.; Delaurentis D.A.,Artificial Intelligence Agents to Support Data Mining for SoS Modeling of Space Systems Design,2020,IEEE Aerospace Conference Proceedings,"The complex and multidisciplinary nature of space systems and mission architectures is especially evident in early stage of design and architecting, where systems stakeholders have to keep into account all the aspects of a project, including alternatives, cost, risk, and schedule and evaluate various potentially conflicting metrics with a high level of uncertainty. Though aerospace engineering is a relatively young discipline, stakeholders in the field can rely on a vast body of knowledge and good practices for space systems design and architecting of space missions. These guidelines have been identified and refined over the years. However, the increase in size and complexity of applications in the aerospace discipline highlighted some gaps in this approach: first, the amount of available information is now very large and originates from multiple sources, often with diverse representations, and useful data for trade space analysis or analysis of all potential alternatives can be easily overlooked; second, the variety and complexity of the systems involved and of the different domains to be kept into account can generate unexpected interactions that cannot be easily identified; third, continuous advancements in the field of aerospace resulted in the development of new approaches and methodologies, for which a common knowledge database is not existing yet, thus requiring substantial effort upfront. To address these gaps and support both decision making in early stage of space systems design and increased automation in extraction of necessary data to feed working groups and analytical methodologies, we propose the training and use of Artificial Intelligence agents. These agents can be trained to recognize not only information coming from standardized representations, for example Model Based Systems Engineering diagrams, but also descriptions of systems and functionalities in plain English. This capability allows each agent to quantify the relevance of publications and documents to the query for which it is trained. At the same time, each agent can recognize potentially useful information in documents which are only loosely connected to the systems or functionalities on which the agent has been trained, and which would possibly be overlooked in a traditional literature review. The search for pertinent sources can be further refined using keywords, that let the user specify more details about the systems or functionality of interest, based on the intended use of the data. In this work we illustrate the use of Artificial Intelligent agents to sort space habitat subsystems into NASA Technology Roadmaps categories and to identify relevant sources of data for these subsystems. We demonstrate how the agents can support the retrieval of complex information required to feed existing System-of-Systems analytic tools and discuss challenges of this approach and future steps. ? 2020 IEEE.",\,"Purdue University School of Aeronautics and Astronautics 701 W. Stadium Ave West Lafayette, IN ddelaure@purdue.edu",United States,IEEE,Conference paper,Scopus,ML+NLP,Data-driven,Classification and prediction,Knowledge management and reuse,Knowledge Creation,Knowledge Extraction,Aerospace£¨Spacecraft£©
Lyutov A.; Uygun Y.; H¨¹tt M.-T.,Managing workflow of customer requirements using machine learning,2019,Computers in Industry,"Customer requirements ¨C product specifications issued by the customer ¨C organize the dialog between suppliers and customers and, hence, affect the dynamics of supply networks. These large and complex documents are frequently updated over time, while changes are seldom marked by the customers who issue the requirements. The lack of structure and defined responsibilities, thus, demands an expert to manually process the requirements. Here, the possibility to improve the usual workflow with machine learning algorithms is explored. The whole requirements management process has two major bottlenecks, which can be automatized. The first one, detecting changes, can be accomplished via a document comparison tool. The second one, recognizing the responsibilities and assigning them to the right department, can be solved with standard machine learning algorithms. Here, such algorithms are applied to a dataset obtained from a global automotive industry supplier. The proposed method improves the requirements management process by reducing an expert's workload and thus decreasing the time for processing one document was reduced from 2 weeks to 1 h. Moreover, the method gives a high accuracy of department assignment and can self-improve once implemented into a requirements management system. Although the machine learning methods are very popular nowadays, they are seldom used to improve business processes in real companies, especially in the case of processes that did not require digitalization in the past. Here we show, how such methods can solve some of the management problems and improve their workflow. ? 2019 Elsevier B.V.",Automation; Classification; Documents management; Machine learning,"A. Lyutov; Jacobs University Bremen, Bremen, Campus Ring 1, 28759, Germany; email: a.lyutov@jacobs-university.de",Germany,Elsevier,Article,Scopus,ML+NLP,Data-driven,Classification and prediction,Requirement analysis and management,Requirements Organization,Requirements classification,Business
"?Z?MC? S., MERT A., ATAY F.",Usage of Digital Twin Technologies during System Modeling and Testing in Vessel Traffic Services System Project,2019,INCOSE International Symposium,"Design and Integration of a Vessel Traffic Services (VTS) System with the implementation of a newly VTS software is a highly complex project with some challenges on interfaces and timing. The involvement of directives of command operation center personal and information from shipleader as stakeholder as well as different systems as automatic identification system, radar systems, electro optical systems, physical security systems beside the traffic services system makes is difficult manage the overall system design. A system of systems approach with MBSE techniques and usage of tools as designing with digital twin technology helps to simplify overviewing system design and checking interface definitions on the left side of the Vee model before implementation and integration process starts. A software intensive system with involvement of electrical and mechanical engineering including structural engineering for measurement of tolerances of sensors installed on towers gives an opportunistic theme for digital twin modeling of devices.",\,HAVELSAN,Turkey,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,DT,Simulation-related,Integrative analysis and evaluation,Simulation and visualization,Visualization,Structural Model Visualization,Vehicle
Folds D.J.; McDermott T.A.,The digital (Mission) twin: An integrating concept for future adaptive cyber-physical-human systems,2019,"IEEE International Conference on Systems, Man and Cybernetics","Top-down decomposition of a complex system of systems (SoS) requires representation of the behavior of multiple individuals and cyber-physical systems performing a wide variety of tasks, usually at different times and with different goals. In the future, as humans and machines learn and co-adapt in their mission context, systems engineering must develop approaches that support dynamic analysis and synthesis in both the design and operation of systems. The concept of a 'digital (mission) twin' provides an integration framework for design and control of future complex cyber-physical-human SoS. The framework builds on mission function task (MFT) analysis, providing a basis for model-based systems engineering (MBSE) activities to identify and address needs for automation or other forms of advanced technology that improve overall system performance. However, human-driven adaptation and eventually machine adaptation of complex SoS poses organizational and methodological challenges. We discuss the need for and opportunities for convergence of three often segregated SE methodologies: Product engineering, human systems integration, and mission/operations analysis by expanding the product or process engineering view of a digital twin to the mission level. In the present this gives us a framework to analyze and specify automation and adaptation opportunities at the mission level. In the future we envision this twin continuously operates with the real systems to manage both emergent mission conditions and lifecycle adaptation. We applied this framework to a complex military mission using a case where artificial intelligence can be incorporated widely across a set of mission tasks to significantly improve performance. ? 2019 IEEE.",\,"Dennis J. Folds is Chief Scientist for Lowell Scientifie Enterprises,Carrollton,GA USA (e-mail: dennis,folds@ gmail.com).",United States,IEEE,Conference paper,Scopus,DT,Simulation-related,Integrative analysis and evaluation,Verification and validation,Verification Execution,Early Automated Verification,Defense
Hause M.,The Digital Twin Throughout the SE Lifecycle,2019,INCOSE International Symposium,"A digital twin is much as it sounds: a digital representation of a specific asset in the field, including current and past configuration states, considering serialized parts, software versions, options, and variants. Condition data is also represented including sensor readings, alerts, and operating environments. A digital twin has significant implications for service, operations, analysis, design, etc. especially when visualized as a Computer Aided Design (CAD)-sourced graphic in 3D virtual or augmented reality. Using this immersive and real-time information, engineers can inspect and verify the asset being serviced, designed or operated to get precise product information. However, the digital twin does not spring into life fully formed straight from the CAD model. It requires an informed system engineering approach to ensure that the integration between physical and digital is fit for purpose. Model-Based Systems Engineering (MBSE) models can be used in conjunction with the digital twin to improve operational models, predict and analyze faults, perform best-fit analysis and eliminate inappropriate system configurations, etc. This paper will look at various aspects of the digital twin and how it can be used in conjunction with MBSE.",\,"PTC Needham, Mass, USA MHause@ptc.com",United States,INCOSE-International Council on Systems Engineering,Conference paper,Wiley,DT,\,\,Verification and validation,\,\,Other£¨IoT£©
Delbr¨¹gger T.; Rossmann J.,Representing adaptation options in experimentable digital twins of production systems,2019,International Journal of Computer Integrated Manufacturing,"Simulations are powerful tools for decision support during factory adaptation processes. In order to provide the most valuable form of decision support, a tool must take into account the decision problem and relevant decision alternatives. Today¡¯s simulation tools, however, only accept simple notions of variability, like numeric parameter ranges. Thereby they ignore most of the variability of production systems, and do not utilise their full potential to aid decisions. To improve this situation, a new concept on how to systematically model the variability of production systems in Digital Twins of production entities is proposed. It combines Model-Based Systems Engineering and Variability Management to model different variants of production systems, and utilises capabilities of production equipment to make Digital Twins modular and reconfigurable. Each valid combination of variants results in a directly 3D-simulable Digital Twin for the whole production system, allowing automatic validation testing and fast feedback loops during system development. The presented concept is not only a very important basis for managing variants. As the variants model can be used as a search space for optimisation algorithms, the concept is an important stepping stone for a more powerful simulation-based optimisation of production systems. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",capabilities; Digital twin; MBSE; MBSE; modelling; variability modeling; Virtual Testbeds,"T. Delbr¨¹gger; Department of Robot Technology, RIF e. V, Dortmund, Germany; email: tim.delbruegger@rt.rif-ev.de",Germany,Taylor and Francis Ltd.,Article,Scopus,DT,Simulation-related,Simulation execution and orchestration,Verification and validation,Verification Execution,Early Automated Verification,Industry
Dickopf T.; Apostolov H.; M¨¹ller P.; G?bel J.C.; Forte S.,A holistic system lifecycle engineering approach ¨C Closing the loop between system architecture and digital twins,2019,Procedia CIRP,"This contribution introduces an approach for the optimization of smart products and systems in the early development phases through a Closed-Loop Systems Engineering approach. This approach ¨C holistic in terms of considering the overall system and its usage context, interdisciplinary, overreaching multiple lifecycle phases, and supported methodologically as well as tool-wise ¨C combines aspects from both Model-Based Systems Engineering and Product resp. System Lifecycle Management to optimize the system by using advanced verification and validation methods and techniques, in particular Model-, Twin- and System-in-the-Loop, and seamless feedback of product usage data to the early development phase. This approach has been prototypically applied at the example of a test bed of an autonomous construction area system of systems. ? 2019 The Authors. Published by Elsevier B.V.",Closed-Loop Systems Engineering; Internet of Things; MBSE; System Lifecycle Management,"H. Apostolov; Institute of Virtual Product Engineering - VPE, University of Kaiserslautern, Germany; email: apostolov@mv.uni-kl.de",Germany,Elsevier,Conference paper,Scopus,DT,Simulation-related,Simulation execution and orchestration,Verification and validation,Verification Execution,Early Automated Verification,Construction
Bella E.E.; Creff S.; Gervais M.-P.; Bendraou R.,ATLaS: A framework for traceability links recovery combining information retrieval and semi-supervised techniques,2019,IEEE International Enterprise Distributed Object Computing Conference,"Current Model-Based Systems Engineering (MBSE) practices to design and implement complex systems require modeling and analysis based on many representations: structure, dynamics, safety, security, etc. This induces a large volume of overlapping heterogeneous artefacts which are subject to frequent changes during the project life cycle. In order to verify and validate systems requirements and ensure that models meet user's needs, MBSE techniques shall rely on consistent traceability management. In this paper, we investigate the benefits of Information Retrieval (IR) techniques and the latest advances in Natural Language Processing (NLP) approaches to suggest stakeholders with candidate semantic links generated from the processing of structured and unstructured contents. We illustrate our approach called ATLaS (Aggregation Trace Links Support) through an application on the design and analysis of a mobility service gathering several industrial partners. We provide an empirical evaluation regarding its limitations as part of an industrial MBSE process. Most importantly, we highlight how our method drastically reduces the false positive links generated compared to current IR techniques. The results obtained suggest a good synergy between the presented approach and MBSE techniques. ? 2019 IEEE.",Information Retrieval; MBSE; NLP; Requirements; Semi-supervised techniques; Traceability,"IRT SystemX, Paris-Saclay, France f irstname.lastname@irt-systemx.fr",France,IEEE,Conference paper,Scopus,NLP,Data-driven,Representation and embedding,Verification and validation,Verification Quality Assurance,Completeness Verification,Other£¨Information£©
